time_days,well_index,well_id,well_name,i,j,k,qo_stb_d,qw_stb_d,qg_mscf_d,bhp_psia
0.000000,1,1,PROD,10,10,3,0.000000,0.000000,0.000000,0.000000
0.000000,2,2,INJ1,1,1,1,0.000000,0.000000,0.000000,0.000000
0.100000,1,1,PROD,10,10,3,20000.000000,0.003347,25399.373890,3157.560930
0.100000,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6208.141080
0.220000,1,1,PROD,10,10,3,20000.000000,0.003342,25399.373890,3120.584891
0.220000,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6208.235386
0.364000,1,1,PROD,10,10,3,20000.000000,0.003337,25399.373890,3081.442152
0.364000,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6208.333167
0.536800,1,1,PROD,10,10,3,20000.000000,0.003331,25399.373890,3040.728896
0.536800,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6208.435324
0.744160,1,1,PROD,10,10,3,20000.000000,0.003325,25399.373890,2998.930098
0.744160,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6208.540722
0.992992,1,1,PROD,10,10,3,20000.000000,0.003319,25399.373890,2956.517050
0.992992,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6208.648580
1.291590,1,1,PROD,10,10,3,20000.000000,0.003312,25399.373890,2913.908765
1.291590,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6208.757880
1.649908,1,1,PROD,10,10,3,20000.000000,0.003306,25399.373890,2871.443353
1.649908,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6208.867655
2.079890,1,1,PROD,10,10,3,20000.000000,0.003299,25399.373890,2829.359026
2.079890,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6208.976918
2.595868,1,1,PROD,10,10,3,20000.000000,0.003293,25399.373890,2787.799789
2.595868,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6209.084530
3.215042,1,1,PROD,10,10,3,20000.000000,0.003286,25399.373890,2746.827694
3.215042,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6209.210650
3.958050,1,1,PROD,10,10,3,20000.000000,0.003280,25399.373890,2706.447302
3.958050,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6209.349649
4.849660,1,1,PROD,10,10,3,20000.000000,0.003273,25399.373890,2666.628530
4.849660,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6209.454310
5.919592,1,1,PROD,10,10,3,20000.000000,0.003267,25399.373890,2627.322744
5.919592,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6209.548466
7.203511,1,1,PROD,10,10,3,20000.000000,0.003261,25399.373890,2588.480658
7.203511,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6209.623273
8.744213,1,1,PROD,10,10,3,20000.000000,0.003254,25399.373890,2550.050813
8.744213,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6209.650660
10.000000,1,1,PROD,10,10,3,20000.000000,0.003248,25399.373890,2524.704322
10.000000,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6209.671065
11.506944,1,1,PROD,10,10,3,20000.000000,0.003244,25399.373890,2235.856103
11.506944,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6209.577067
13.315278,1,1,PROD,10,10,3,20000.000000,0.003240,25380.041884,1330.872032
13.315278,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6209.316223
15.485278,1,1,PROD,10,10,3,39806.078107,0.006460,50434.713302,1000.000000
15.485278,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6208.715736
18.089278,1,1,PROD,10,10,3,39682.887842,0.006440,53883.213153,1000.000000
18.089278,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6207.391474
21.214078,1,1,PROD,10,10,3,38439.290534,0.006303,65336.308279,1000.000000
21.214078,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6204.912520
23.088958,1,1,PROD,10,10,3,35412.311312,0.006175,76095.267277,1000.000000
23.088958,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6202.850640
25.338814,1,1,PROD,10,10,3,31579.997263,0.006020,77819.250949,1000.000000
25.338814,2,2,INJ1,1,1,1,0.000000,0.000000,-100.000000,6200.089909
